idOperador,nit,nombreEmpresa
100001,1462570754,Sheila Richardson
100002,1693377312,Ryan Olson
100003,1771952087,Sean Neal
100004,1072781577,Crystal Thomas
100005,1017795175,Robert Jackson
100006,1231678922,Connie Miller
100007,1188833134,Cynthia Leonard
100008,1362124056,Shane Roberts
100009,1753132204,Brandon Moore
100010,1685464603,Ryan Lewis
100011,1300359857,Cody Thompson
100012,1374564574,Lauren Burns
100013,1509156355,Larry Larson
100014,1480532857,Brittney Avila
100015,1944184783,Jamie Gonzales
100016,1651909643,Sarah Cunningham
100017,1655626824,Janet Becker
100018,1040841468,Thomas White
100019,1894103626,Renee Henderson
100020,1021475983,Dylan Smith
100021,1947923816,Kathy Gray
100022,1571357845,Daniel Larsen
100023,1912230781,Donna Munoz
100024,1607817295,Joseph Henry
100025,1041616288,Trevor Elliott
100026,1630880890,Kelly Gordon
100027,1854546450,Mr. Aaron Andrews
100028,1746245256,Donald Jones
100029,1353504455,Steven Allen
100030,1803733901,Jenny Hardy
100031,1288789199,Kari Day
100032,1493561988,Alex Willis
100033,1009832432,Jacob Williams
100034,1581432646,Michelle Butler
100035,1135411342,Bob Cunningham
100036,1727397803,Aaron Ortiz MD
100037,1431526187,Steven West
100038,1412111320,Troy Greene
100039,1430193107,Scott Nelson
100040,1628225948,Dennis Young
100041,1623916892,Frank Bennett
100042,1378620700,David Anderson II
100043,1155773803,Tiffany Smith
100044,1519726359,Daniel Beck
100045,1834013638,Amanda Williams
100046,1507220033,Jacob Morgan
100047,1337390736,Christina Ramirez
100048,1942323747,Michelle Sandoval
100049,1596129070,Chad Anderson
100050,1995736170,Dr. Roy Castillo
100051,1597091863,Taylor Khan
100052,1561017617,Shirley Watkins
100053,1528080383,Jose Williams
100054,1017543962,Alan Webb
100055,1653149450,Dana Pittman
100056,1249665326,Austin Rivera
100057,1329321172,Alexander Martin
100058,1339136186,Teresa Sanchez
100059,1509648773,George Harrell
100060,1567644565,Dana Cooper
100061,1728402363,Richard Mendoza
100062,1306072570,Jennifer Ross
100063,1255079223,Mindy Pruitt
100064,1460817354,Amy Thompson
100065,1015876520,Steven Diaz
100066,1522852870,Luke Wells MD
100067,1476662455,Leslie Henderson
100068,1378769536,Melanie Trevino
100069,1477165381,Joel Mendoza
100070,1246009721,Kathleen Jenkins
100071,1301698234,Ashley Gill
100072,1110780510,Frederick Wilson
100073,1732143369,William Hanson
100074,1562982782,Kylie Burnett
100075,1252573935,Nicholas Solis
100076,1398176534,Frederick Lewis
100077,1100664607,Nicholas Simpson
100078,1581551982,Donna Foster
100079,1495275102,David Thomas
100080,1314870108,Mario Kirby
100081,1971624079,Frank Reid
100082,1324506005,Julie Walters
100083,1740792650,Donna Mcbride
100084,1581342743,Michael Jackson
100085,1601788262,Edward Baxter
100086,1846229291,Daniel Osborn
100087,1575453255,Kara Morse
100088,1510897548,Johnny Choi
100089,1965188483,Barbara Fitzgerald
100090,1066936365,Alyssa Wilson
100091,1479905887,Daniel Robinson
100092,1808689786,Matthew Ellis
100093,1525572306,Matthew Martin
100094,1515287709,Lindsay Luna
100095,1668261431,Barry Fitzgerald
100096,1224389673,Debbie Schaefer
100097,1505668336,Susan Fuller
100098,1316781200,Amanda Dawson
100099,1662196536,Megan Walters
100100,1973716664,Manuel Edwards
100101,1628497080,Kirsten Cantrell
100102,1626090542,Terry Smith
100103,1645267628,Tyler Jones
100104,1376147282,Joshua Howard
100105,1503357383,Virginia Larson
100106,1981285386,Andrew Kim
100107,1045884612,Sarah Coleman
100108,1844571480,Samuel Evans
100109,1496419153,Seth Freeman
100110,1962087052,Caleb Leon
100111,1846695078,Daniel Walters
100112,1560871506,Christopher Lewis
100113,1368655735,Rhonda Williams
100114,1094577966,Tracie Barnes
100115,1496947043,Anita Bowman
100116,1110944628,Tony Adams
100117,1388012207,Megan Anderson
100118,1617211145,Kevin Brown
100119,1797295280,Cynthia Medina
100120,1904516549,Allison Newton
100121,1462269541,Curtis Mcbride
100122,1948127647,Rodney Jenkins
100123,1746577715,Ann Velazquez
100124,1241895940,Richard Sanchez
100125,1442919855,Beth Snyder
100126,1508084671,Patricia Kelley
100127,1757763428,Dale Moon
100128,1028461538,Lisa Fowler
100129,1218838309,Mr. Jacob Hernandez
100130,1317146657,Phillip Johnson
100131,1184283181,Kenneth Martin
100132,1999069666,Stephanie Wilson
100133,1332637103,David Diaz
100134,1593687985,Roy Rogers
100135,1844447696,Herbert Adams
100136,1963107086,Benjamin Cantu
100137,1441554025,Michael Ramirez
100138,1865479804,Kimberly Murphy
100139,1133418818,Andrew Ramirez
100140,1018058753,Austin Jordan
100141,1816493439,Kimberly Hill
100142,1089474497,Brooke Murray
100143,1437609839,Margaret Lewis
100144,1948739614,Kara Bennett
100145,1612785430,Heather Poole
100146,1189706862,Molly Pacheco
100147,1113568256,Brett Parker
100148,1079645607,Jason Weaver
100149,1112481391,Michele Howard
100150,1398310607,David Fischer
100151,1713099620,Shelly Harris
100152,1965203036,Ronald Williams
100153,1389209048,Jennifer Smith
100154,1317891215,Mark Jones
100155,1753496694,Cindy Flynn
100156,1033118570,William Mitchell
100157,1195442209,Emily Rivera
100158,1115408319,Mary Wallace
100159,1782363899,Brian Jones
100160,1770717481,Barbara Morris
100161,1210836671,George Bailey
100162,1336225544,Ashley Byrd
100163,1918760081,Jeffrey Jones
100164,1921529145,Joshua Young
100165,1116942324,John Lopez
100166,1726374381,Cassandra Willis
100167,1042491465,Guy Kent
100168,1402953318,David May
100169,1933869315,Heather Simpson
100170,1078808062,Meredith Perez
100171,1035591344,Amanda Taylor
100172,1177030489,Christine Willis
100173,1261545141,James Simpson MD
100174,1778776062,Dustin Nielsen
100175,1307475433,Linda Garcia
100176,1540075893,David Newton
100177,1304672224,Allison Weeks
100178,1075979197,Jennifer Davis
100179,1247417221,Anna Price
100180,1418465710,Kimberly Johnson
100181,1127174895,Adrienne Martin
100182,1311701618,Paul Johnson
100183,1976764090,Bradley Bell
100184,1085023568,Gabriela Benton
100185,1413218121,Jeff Allen
100186,1999937868,Kyle Randall
100187,1979714668,Christina Edwards
100188,1841450559,Rachael Freeman
100189,1195788073,William Smith
100190,1354561804,Peter Beard
100191,1030326104,Jason Moore
100192,1690178616,Michael Ayala
100193,1425396130,Jackie Lyons
100194,1288278935,Joshua Hill
100195,1908286761,Troy Bennett
100196,1056674254,Victor Bailey DVM
100197,1697652736,Benjamin Hart
100198,1568015811,Gregory Mills
100199,1438149773,Amy Rodriguez DDS
100200,1156049005,Jesse Nelson
100201,1006959886,Anne Estes
100202,1044548122,Mr. David Kelly
100203,1265196456,Kathryn Jones
100204,1352853731,Felicia Payne
100205,1449199179,Linda Barnes
100206,1781650594,Rebecca Warren
100207,1092673179,Karen Clark
100208,1081455769,Timothy Fisher
100209,1992297614,Nicholas Miller
100210,1253718935,Christine Lin
100211,1219459742,Jason Lewis
100212,1235736794,Daniel Scott
100213,1542475423,Donald Reed
100214,1254062810,Emily Richardson
100215,1577102224,Gregory Richardson
100216,1760979678,Jessica Wagner
100217,1104965572,Taylor Green
100218,1938022898,Karen Rhodes
100219,1441356255,Amy Frazier
100220,1747530343,Stephanie Johnson
100221,1618744248,Brian Rivas
100222,1618875602,Jason Adams
100223,1118441957,James Smith
100224,1455938580,Crystal Cooper
100225,1304885309,Peter Alexander
100226,1404400491,Carl Diaz
100227,1986277042,Alexandra Lynch
100228,1473202027,Jonathan Preston
100229,1315899221,Anna Mills
100230,1541125038,Jason Le
100231,1779022729,Robert Martin
100232,1888463823,Whitney Davis
100233,1237868148,Juan Morris
100234,1449992269,Stephanie Davis
100235,1741866745,Kerry Harris
100236,1513363934,Steven Davis
100237,1269809975,Heather Pittman
100238,1925039565,Kyle Hamilton
100239,1962932454,Joseph Owens
100240,1742360944,Anita Rivera
100241,1769061183,Michael Anderson
100242,1277424342,Brandy Reyes
100243,1721187651,Joseph Clark
100244,1580958612,Isabel Fisher
100245,1414784717,Matthew Durham
100246,1759196773,Natalie Estes
100247,1372829755,Michael Lawrence
100248,1993663385,Crystal Lang
100249,1787135512,William Nelson
100250,1124699086,Andrew Wright
100251,1164350974,Ana Avila
100252,1614831741,John Ferguson
100253,1395753574,Ashley Knight
100254,1745734283,Adriana Hall
100255,1106046631,Dr. David Jones
100256,1368634839,Stacey Snyder
100257,1813043328,Carla Reed
100258,1019895583,Rebecca Alexander
100259,1549674957,Rodney Morales
100260,1473463682,Michael Crane
